step,source_elapsed_s,target_center_x,target_center_y,target_center_z,action_0,action_1,action_2,action_3,action_4,action_5,action_6,action_7,action_8,action_9,action_10,action_11,action_12,action_13,noise_0,noise_1,noise_2,noise_3,noise_4,noise_5,noise_6,noise_7,noise_8,noise_9,noise_10,noise_11,noise_12,noise_13
42,2.135124506,0.500000000,0.000000000,0.200000000,0.018268622,-0.018122271,-0.021488078,-0.013610458,0.022744574,-0.017753933,-0.023317907,0.025246419,-0.024262035,-0.024307275,-0.017645501,0.010814029,-0.010036653,-0.000994257,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
43,2.185002479,0.500000000,0.000000000,0.200000000,0.018064888,-0.017865337,-0.021152031,-0.013400747,0.022195973,-0.017373251,-0.023013126,0.025147196,-0.024411047,-0.023914946,-0.017445082,0.010783545,-0.009695912,-0.000704728,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
44,2.234962595,0.500000000,0.000000000,0.200000000,0.017859355,-0.017622108,-0.020836847,-0.013183929,0.021665718,-0.017001934,-0.022720160,0.024997966,-0.024547303,-0.023618998,-0.017249964,0.010693076,-0.009354065,-0.000416718,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
45,2.284968229,0.500000000,0.000000000,0.200000000,0.017661113,-0.017401744,-0.020533036,-0.012967795,0.021157648,-0.016653853,-0.022430487,0.024863997,-0.024677193,-0.023313664,-0.017073527,0.010579631,-0.009027862,-0.000140101,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
46,2.335316333,0.500000000,0.000000000,0.200000000,0.017465960,-0.017186649,-0.020232769,-0.012760472,0.020667631,-0.016318727,-0.022146881,0.024719724,-0.024809560,-0.023028981,-0.016885409,0.010450750,-0.008700047,0.000123382,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
47,2.384951231,0.500000000,0.000000000,0.200000000,0.017274590,-0.016978675,-0.019939469,-0.012555785,0.020190636,-0.015996290,-0.021866569,0.024575986,-0.024932627,-0.022747064,-0.016712517,0.010314598,-0.008381960,0.000374943,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
48,2.434878091,0.500000000,0.000000000,0.200000000,0.017082520,-0.016774856,-0.019653508,-0.012352647,0.019725017,-0.015677784,-0.021591771,0.024428492,-0.025053781,-0.022477252,-0.016536582,0.010173111,-0.008068968,0.000616588,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
49,2.484969574,0.500000000,0.000000000,0.200000000,0.016893933,-0.016573939,-0.019365832,-0.012150461,0.019266140,-0.015364846,-0.021317486,0.024277812,-0.025174329,-0.022211311,-0.016357251,0.010024681,-0.007755005,0.000849776,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
50,2.534888360,0.500000000,0.000000000,0.200000000,0.016711192,-0.016407121,-0.019162357,-0.012025130,0.018880906,-0.015147697,-0.021090301,0.024147162,-0.025248637,-0.022001665,-0.016284969,0.009913887,-0.007531351,0.001069054,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
51,2.585012257,0.500000000,0.000000000,0.200000000,0.016543636,-0.016241286,-0.018869106,-0.011800602,0.018471707,-0.014845792,-0.020846028,0.024000842,-0.025272762,-0.021755734,-0.016107423,0.009761254,-0.007241525,0.001266404,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
