step,source_elapsed_s,target_center_x,target_center_y,target_center_z,action_0,action_1,action_2,action_3,action_4,action_5,action_6,action_7,action_8,action_9,action_10,action_11,action_12,action_13,noise_0,noise_1,noise_2,noise_3,noise_4,noise_5,noise_6,noise_7,noise_8,noise_9,noise_10,noise_11,noise_12,noise_13
52,2.635090977,0.500000000,0.000000000,0.200000000,0.005368631,-0.017222116,-0.011601197,-0.025120530,0.029987452,-0.018042871,-0.018612899,0.019819044,-0.030318273,-0.023017074,-0.046807535,0.017089580,-0.038396492,0.000289473,-0.011000203,-0.001154978,0.006999513,-0.013497242,0.011953061,-0.003461263,0.001968346,-0.004023339,-0.005035748,-0.001499142,-0.030812409,0.007484177,-0.031430416,-0.001176785
53,2.684939296,0.500000000,0.000000000,0.200000000,0.010235665,-0.015316623,-0.011409016,-0.011162836,0.014605663,-0.012018447,-0.019064231,0.030519440,-0.028734938,-0.015716435,-0.030657968,0.007519420,0.025908559,0.005633451,-0.005946009,0.000586464,0.006925710,0.000271321,-0.003000366,0.002299733,0.001259368,0.006834652,-0.003482696,0.005568820,-0.014767092,-0.001925839,0.032612298,0.003970647
54,2.735387859,0.500000000,0.000000000,0.200000000,0.020039540,-0.015031930,-0.016355276,0.016265541,0.017888452,-0.026304850,-0.020574604,0.025196308,-0.029227452,-0.023742128,0.002657756,0.016719896,0.017068717,0.006876721,0.004042244,0.000713751,0.001716798,0.027516214,0.000702859,-0.012238389,-0.000505077,0.001670828,-0.003998054,-0.002681631,0.018436335,0.007435912,0.023511503,0.005020828
55,2.784976890,0.500000000,0.000000000,0.200000000,0.009986421,-0.015940835,-0.019318607,-0.015559045,0.024320086,-0.027890079,-0.020188210,0.035703025,-0.033419130,-0.017300641,-0.015160015,-0.011965047,-0.019527620,0.026645122,-0.005830417,-0.000348076,-0.001506398,-0.004490739,0.007544327,-0.014071510,-0.000367658,0.012337926,-0.008216701,0.003539862,0.000512196,-0.021086444,-0.013338085,0.024601848
56,2.834982734,0.500000000,0.000000000,0.200000000,0.012034703,-0.015302669,-0.017935046,-0.026483807,0.027759549,-0.005989528,-0.018427099,0.022144610,-0.031197550,-0.025041833,-0.001883538,-0.017532930,0.008511486,0.008584150,-0.003603147,0.000141739,-0.000375825,-0.015594852,0.011384521,0.007584811,0.001148819,-0.001060655,-0.006014994,-0.004417572,0.013673753,-0.026492304,0.014448560,0.006359761
57,2.884938201,0.500000000,0.000000000,0.200000000,0.018050268,-0.015282490,-0.022658071,-0.022489156,0.014627806,-0.009742501,-0.016005587,0.025287503,-0.021133945,-0.024053862,-0.002698967,0.015507002,0.020791176,0.020379396,0.002587671,0.000014565,-0.005347593,-0.011773265,-0.001357227,0.003593762,0.003329664,0.002243783,0.004031047,-0.003638994,0.012748529,0.006709740,0.026483299,0.017980910
58,2.934962102,0.500000000,0.000000000,0.200000000,0.015627941,-0.016942368,-0.008397261,-0.022730349,0.019005451,-0.004715861,-0.016848373,0.014840711,-0.032081768,-0.014655817,-0.004886417,0.048411744,-0.016501773,-0.026397788,0.000340794,-0.001792025,0.008671621,-0.012184693,0.003401219,0.008384706,0.002250753,-0.008042265,-0.006925473,0.005553739,0.010441004,0.039776504,-0.011055646,-0.028963762
59,2.984946630,0.500000000,0.000000000,0.200000000,0.008931156,-0.016412763,-0.018915798,-0.005903989,0.018403675,-0.014966744,-0.020840126,0.025166284,-0.028737113,-0.015520362,-0.019876605,0.000975895,0.012493309,0.024638387,-0.006185784,-0.001406957,-0.002086548,0.004469890,0.003170261,-0.002101515,-0.001973568,0.002444649,-0.003587520,0.004488690,-0.004664552,-0.007498662,0.017700130,0.021910833
60,3.034960585,0.500000000,0.000000000,0.200000000,0.023644819,-0.016373776,-0.011093457,0.009417764,0.017409574,-0.019768295,-0.018937848,0.027516182,-0.024088147,-0.019190587,-0.000705509,0.033229688,0.017678802,-0.012665389,0.008698130,-0.001509545,0.005503712,0.019627428,0.002538972,-0.007132239,-0.000300114,0.004957094,0.001056160,0.000624931,0.014389508,0.024915844,0.022650936,-0.015548346
61,3.084917297,0.500000000,0.000000000,0.200000000,0.006236890,-0.011930603,-0.008628100,-0.010805690,-0.001014543,-0.000481678,-0.019684411,0.016333208,-0.026580076,-0.019098204,-0.037536058,-0.007811262,-0.005049794,0.003951611,-0.008542033,0.002789133,0.007738715,-0.000755534,-0.015533448,0.011931447,-0.001272672,-0.006064791,-0.001435026,0.000525431,-0.022564276,-0.015965585,-0.000313629,0.000919525
